0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:40 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:40 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:42 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11069
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:42 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:42 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:56 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11068
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:56 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:56 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:56 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11068
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:56 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:50:56 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:05 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11068
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:05 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:05 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:05 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11068
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:05 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:05 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
